F,E,B,N,D,V,EA,EB,AA,AB,AC
-2.114,0.054,0.345,5,6.771,62.497,0.93,2.36,1.39,0.62,1.35
-2.611,0.329,1.05,5,5.466,58.557,1.22,1.83,1.2,0.645,1.35
-3.602,0.001,2.211,10,6.156,175.559,0.89,1.12,1.61,0.87,1.35
-3.545,0.029,3.571,10,3.613,124.963,1,1.54,1.34,0.605,1.35
-1.979,0.065,0.098,5,5.671,56.965,0.95,1.88,1.44,0.53,1.35
-3.111,0.037,3.194,20,7.004,243.368,1.1,1.81,1.36,0.62,1.35
-3.563,0.04,2.308,5,6.034,89.566,0.89,1.12,1.61,0.87,1.35
-3.498,0.008,1.727,30,5.682,408.932,0.89,1.54,1.61,0.605,1.35
-2.709,0.026,3.101,5,4.044,89.393,0.82,1.69,1.64,0.95,1.285
-1.401,0.029,1.148,5,4.661,130.268,1.62,1.55,1.7,0.83,1.79
-3.503,0.003,1.728,5,5.735,67.516,0.89,1.54,1.61,0.605,1.35
-3.083,0.005,2.28,10,6.808,122.905,0.93,1.5,1.39,0.64,1.35
-2.408,0.209,0.158,5,7.909,54.02,1.17,1.88,1.24,0.545,1.35
-1.686,1.821,0.014,5,4.547,85.164,0.89,1.54,1.61,0.605,1.35
-3.053,0.009,3.391,20,7.093,242.177,1.13,1.81,1.3,0.62,1.35
-2.016,0.036,1.589,5,5.659,67.572,1.93,1.65,1.48,0.74,1.285
-2.87,0.002,1.476,5,4.365,68.471,0.82,1.6,1.64,0.64,1.35
-3.011,0.04,2.273,5,6.702,59.692,1.13,1.66,1.3,0.615,1.35
-2.649,0.006,1.612,10,6.125,137.908,0.95,1.96,1.44,0.69,1.35
-3.829,0.003,3.989,10,7.493,139.213,0.95,1.3,1.44,0.71,1.35
-3.707,0.059,3.201,5,7.12,97.343,0.89,1.3,1.61,0.94,1.35
-3.699,0.003,6.477,5,4.082,112.899,0.79,0.95,1.88,1.18,1.285
-3.509,0.064,1.828,5,3.836,58.84,1,1.54,1.34,0.605,1.35
-3.734,0.007,3.492,5,6.415,55.361,1.1,1.61,1.36,0.535,1.35
-3.647,0.093,4.487,60,5.129,830.986,1.1,1.61,1.36,0.535,1.35
-1.405,0.024,1.288,20,4.694,517.453,1.62,1.55,1.7,0.83,1.79
-3.698,0.043,4.17,30,4.993,426.786,1.1,1.61,1.36,0.535,1.35
-2.942,0.002,0.235,20,4.103,225.074,1,1.63,1.34,0.61,1.35
-2.956,0.25,0.109,5,6.931,59.73,1.17,1.63,1.24,0.64,1.35
-3.042,0.002,2.689,20,3.232,310.384,0.82,1.55,1.64,0.83,1.285
-3.043,0.001,2.674,20,3.239,309.728,0.82,1.55,1.64,0.83,1.285
-3.115,0.171,0.021,5,6.402,61.687,1.1,1.63,1.36,0.64,1.35
-2.422,0.17,0.142,5,7.589,54.956,1.14,1.88,1.27,0.545,1.35
-2.917,0.023,1.384,10,4.892,130.844,1.22,1.83,1.2,0.645,1.35
-1.831,0.008,1.746,5,3.857,151.406,0.79,1.69,1.88,0.95,1.79
-2.915,0.079,0.693,5,3.009,72.265,0.93,1.63,1.39,0.79,1.285
-3.705,0.036,4.452,60,4.521,942.809,1.1,1.61,1.36,0.535,1.35
-1.879,0.005,2.189,5,3.933,188.519,0.79,1.87,1.88,1.19,1.79
-3.074,0.014,2.26,5,6.623,63.167,0.93,1.5,1.39,0.64,1.35
-3.827,0.004,3.957,20,7.494,278.415,0.95,1.3,1.44,0.71,1.35
-3.11,0.038,3.376,10,7.007,121.63,1.1,1.81,1.36,0.62,1.35
-2.997,0.203,0.021,10,4.834,129.79,1.22,1.66,1.2,0.615,1.35
-3.736,0.019,5.54,20,5.187,209.857,1.22,1.61,1.2,0.535,1.35
-2.838,0.102,1.231,5,6.505,61.966,1.1,1.83,1.36,0.645,1.35
-3.087,0.001,2.385,20,6.857,244.039,0.93,1.5,1.39,0.64,1.35
